X;Y;osm_id;name;operator;accepts_bottle;indoor;offers_cold_water;offers_warm_water;offers_hot_water;fee;description;com_insee;com_nom
2.3584682;48.8281909997349;node/1000473141;;JCDecaux;;;;;;no;;75056;Paris
2.3591009;48.8846453997209;node/1030473686;;;;;;;;no;;75056;Paris
2.2276925;48.8691038997248;node/1037077467;Fontaine Wallace;;;;;;;;;92073;Suresnes
2.3309461;48.8323293997339;node/1049759493;;JCDecaux;;;;;;no;;75056;Paris
2.5103826;48.9590424997025;node/1077616788;;;;;;;;;;93005;Aulnay-sous-Bois
2.2356261;48.8263463997354;node/1100622799;;;;;;;;;;92012;Boulogne-Billancourt
2.3962996;48.8495778997296;node/1118371558;;JCDecaux;;;;;;no;;75056;Paris
2.3123689;48.8691908997247;node/1118492966;;;;;;;;;;75056;Paris
2.312787;48.8694476997247;node/1118492968;;JCDecaux;;;;;;no;;75056;Paris
2.3224922;48.8648960997258;node/1128854285;Toilettes des Tuileries;;;;;;;yes;;75056;Paris
2.3203574;48.8313289997341;node/1133782584;;;;;;;;;;75056;Paris
2.3201884;48.8316538997341;node/1133782592;;JCDecaux;;;;;;no;;75056;Paris
2.2684237;48.8226066997363;node/1146779384;;;;;;;;;;92040;Issy-les-Moulineaux
2.5833173;48.7990089997421;node/1176804491;;;;;;;;;;94059;Le Plessis-Trévise
2.3263716;48.8133538997386;node/1217532184;;;;;;;;;;92049;Montrouge
2.3891218;48.8592325997272;node/1218358494;;JCDecaux;;;;;;no;;75056;Paris
2.3652261;48.868020399725;node/1225304390;;JCDecaux;;;;;;no;;75056;Paris
2.3628446;48.8678241997251;node/1225461849;;;;;;;;;;75056;Paris
2.2299939;48.8325808997338;node/1244722906;;;;;;;;;;92012;Boulogne-Billancourt
2.2320626;48.8330366997337;node/1244722908;;;;;;;;;;92012;Boulogne-Billancourt
2.3527274;48.8630891997263;node/1268502498;;JCDecaux;;;;;;no;;75056;Paris
2.5791287;48.840098999732;node/1274828361;;;;;;;;;;93051;Noisy-le-Grand
2.5784614;48.8383602997324;node/1274828369;;;;;;;;;;93051;Noisy-le-Grand
2.5789353;48.8396249997321;node/1274828388;;;;;;;;;;93051;Noisy-le-Grand
2.2363257;48.8909965997193;node/1282766450;;;;;;;;;;92062;Puteaux
2.379899;48.6688557997744;node/1295337369;;;;;;;;;;91687;Viry-Châtillon
2.3127647;48.8686719997249;node/1296654688;;;;;;;;;;75056;Paris
2.3110061;48.8671020997253;node/1296661285;;;;;;;;;;75056;Paris
2.3001932;48.8651956997258;node/1296677114;;JCDecaux;;;;;;no;;75056;Paris
2.3090971;48.880193099722;node/1297090319;;;;;;;;no;;75056;Paris
2.3109341;48.8450098997308;node/1298865255;Fontaine Wallace;;;;;;;;;75056;Paris
2.285956;48.8769302997228;node/1300607585;;JCDecaux;;;;;;no;;75056;Paris
2.3639241;48.8242964997359;node/1306563646;Fontaine Wallace;;;;;;;;Fontaine Wallace;75056;Paris
2.3886603;48.8933352997187;node/1309495610;;;;;;;;;;75056;Paris
2.3916574;48.8941742997186;node/1309495611;;;;;;;;;;75056;Paris
2.5523392;48.9364167997081;node/1309496831;Point d'eau;;;;;;;;;93071;Sevran
2.2855118;48.8412409997317;node/1316137749;;;;;;;;;;75056;Paris
2.3234435;48.8219931997365;node/1332087886;;;;;;;;;;75056;Paris
2.3407556;48.8211178997367;node/1337920334;;;yes;;;;;no;eau pétillante;75056;Paris
2.4858712;48.7965398997428;node/1337967409;;;;;;;;;;94068;Saint-Maur-des-Fossés
2.2817103;48.8362417997329;node/1369995206;;JCDecaux;;;;;;no;;75056;Paris
2.2571673;48.8484426997299;node/1369995224;;JCDecaux;;;;;;no;;75056;Paris
2.2667046;48.8571901997277;node/1369995231;;JCDecaux;;;;;;no;;75056;Paris
2.269084;48.8459338997305;node/1369995238;;JCDecaux;;;;;;no;;75056;Paris
2.2753976;48.8512734997292;node/1369995243;;JCDecaux;;;;;;no;;75056;Paris
2.2778948;48.8508295997293;node/1369995244;;JCDecaux;;;;;;no;;75056;Paris
2.2736425;48.8476768997301;node/1369995246;;JCDecaux;;;;;;no;;75056;Paris
2.3477217;48.8199639997369;node/1369995267;;JCDecaux;;;;;;no;;75056;Paris
2.3690202;48.8212401997366;node/1369995269;;JCDecaux;;;;;;no;;75056;Paris
2.3668592;48.8226662997363;node/1369995270;;JCDecaux;;;;;;no;;75056;Paris
2.3443347;48.8189881997372;node/1369995279;;JCDecaux;;;;;;no;;75056;Paris
2.3255069;48.831953999734;node/1369995311;;JCDecaux;;;;;;no;;75056;Paris
2.3280012;48.8289773997347;node/1369995319;;JCDecaux;;;;;;no;;75056;Paris
2.3263156;48.8296069997346;node/1369995323;;JCDecaux;;;;;;no;;75056;Paris
2.3262895;48.8256976997355;node/1369995327;;JCDecaux;;;;;;no;;75056;Paris
2.2904693;48.8448083997308;node/1369995339;;JCDecaux;;;;;;no;;75056;Paris
2.3150671;48.8256833997355;node/1369995342;;JCDecaux;;;;;;no;;75056;Paris
2.3113229;48.8249786997357;node/1369995347;;JCDecaux;;;;;;no;;75056;Paris
2.3033673;48.8282845997349;node/1369995356;;JCDecaux;;;;;;no;;75056;Paris
2.3089142;48.8460239997305;node/1369995368;;JCDecaux;;;;;;no;;75056;Paris
2.2979912;48.8528377997288;node/1369995383;;JCDecaux;;;;;;no;;75056;Paris
2.2959032;48.8551024997282;node/1369995387;;JCDecaux;;;;;;no;;75056;Paris
2.3312071;48.8330182997337;node/1369995406;;JCDecaux;;;;;;no;;75056;Paris
2.3368012;48.8347330997333;node/1369995425;;JCDecaux;;;;;;no;;75056;Paris
2.3321204;48.8348079997333;node/1369995427;;JCDecaux;;;;;;no;;75056;Paris
2.3463727;48.8349562997333;node/1369995441;;JCDecaux;;;;;;no;;75056;Paris
2.3374846;48.8417558997316;node/1369995457;;JCDecaux;;;;;;no;;75056;Paris
2.3486928;48.8416361997316;node/1369995461;;JCDecaux;;;;;;no;;75056;Paris
2.356537;48.828054399735;node/1369995466;;JCDecaux;;;;;;no;;75056;Paris
2.3581267;48.823935999736;node/1369995470;;JCDecaux;;;;;;no;;75056;Paris
2.3530964;48.8240640997359;node/1369995473;;JCDecaux;;;;;;no;;75056;Paris
2.3689798;48.8297759997345;node/1369995481;;JCDecaux;;;;;;no;;75056;Paris
2.334595;48.8527305997288;node/1369995516;;JCDecaux;;;;;;no;;75056;Paris
2.3309874;48.8544393997284;node/1369995518;;JCDecaux;;;;;;no;;75056;Paris
2.350201;48.8623090997265;node/1369995534;;JCDecaux;;;;;;no;;75056;Paris
2.3509604;48.8636619997261;node/1369995539;;JCDecaux;;;;;;no;;75056;Paris
2.3465409;48.8579670997275;node/1369995541;;JCDecaux;;;;;;no;;75056;Paris
2.3422091;48.8623380997265;node/1369995544;;JCDecaux;;;;;;no;;75056;Paris
2.3418325;48.8631574997262;node/1369995560;;JCDecaux;;;;;;no;;75056;Paris
2.3728567;48.8548797997283;node/1369995572;;JCDecaux;;;;;;no;;75056;Paris
2.3693862;48.8658467997256;node/1369995583;;JCDecaux;;;;;;no;;75056;Paris
2.3670401;48.8611136997268;node/1369995585;;JCDecaux;;;;;;no;;75056;Paris
2.3522484;48.8655058997257;node/1369995593;;JCDecaux;;;;;;no;;75056;Paris
2.3593611;48.8627490997264;node/1369995610;;JCDecaux;;;;;;no;;75056;Paris
2.3606992;48.860054099727;node/1369995613;;JCDecaux;;;;;;no;;75056;Paris
2.3601249;48.8649716997258;node/1369995618;;JCDecaux;;;;;;no;;75056;Paris
2.4018818;48.8436849997311;node/1369995621;;JCDecaux;;;;;;no;;75056;Paris
2.4046644;48.8404507997319;node/1369995628;;JCDecaux;;;;;;no;;75056;Paris
2.3782109;48.8396109997321;node/1369995632;;JCDecaux;;;;;;no;;75056;Paris
2.3920432;48.8405213997319;node/1369995636;;JCDecaux;;;;;;no;;75056;Paris
2.3835553;48.8556465997281;node/1369995657;;JCDecaux;;;;;;no;;75056;Paris
2.3776691;48.8541340997285;node/1369995663;;JCDecaux;;;;;;no;;75056;Paris
2.3936641;48.8495771997296;node/1369995666;;JCDecaux;;;;;;no;;75056;Paris
2.3937178;48.852140099729;node/1369995670;;JCDecaux;;;;;;no;;75056;Paris
2.3878882;48.8532862997287;node/1369995672;;JCDecaux;;;;;;no;;75056;Paris
2.3840312;48.8504196997294;node/1369995675;;JCDecaux;;;;;;no;;75056;Paris
2.3765509;48.8461068997305;node/1369995677;;JCDecaux;;;;;;no;;75056;Paris
2.3849035;48.8455897997306;node/1369995690;;JCDecaux;;;;;;no;;75056;Paris
2.3947167;48.8649409997258;node/1369995694;;JCDecaux;;;;;;no;;75056;Paris
2.3760806;48.8648881997258;node/1369995700;;JCDecaux;;;;;;no;;75056;Paris
2.38096;48.8656933997256;node/1369995703;;JCDecaux;;;;;;no;;75056;Paris
2.3924546;48.8574920997277;node/1369995706;;JCDecaux;;;;;;no;;75056;Paris
